NUM,L1_DCM,L2_TCM,L3_TCM
383,7043860.4,277950.9,586.6
384,7101446.1,280559.8,931.5
385,7155180.9,281311.2,601.4
386,7214400.9,281250.0,514.9
387,7267226.7,285105.6,429.9
388,7326948.8,285400.2,596.7
389,7380504.2,287443.0,593.2
390,7439862.8,289193.7,634.0
391,7494771.9,292067.2,399.6
392,7554285.2,292587.4,693.7
393,7610651.4,296603.8,702.3
394,7668694.3,297667.0,684.3
395,7728149.5,300313.1,697.7
396,7785750.9,302781.0,947.9
397,7847671.2,304169.3,1259.4
398,7904241.2,305068.6,733.6
399,7967799.2,306065.5,729.5
400,8023556.5,309151.9,677.9
401,8087427.8,311272.6,1443.0
402,8145729.1,312963.0,666.9
403,8206187.5,314580.4,501.2
404,8268633.4,315533.1,717.1
405,8328584.3,318409.3,773.3
406,8394331.3,319769.2,965.1
407,8453131.6,320956.6,1105.5
408,8517441.3,324925.6,1630.0
409,8578831.1,326384.4,762.0
410,8641442.8,328688.2,869.4
411,8708034.9,329670.7,881.4
412,8768503.7,330728.1,791.5
413,8833185.8,335451.5,781.8
414,8897756.6,335564.4,861.7
415,8961130.6,339915.3,1049.7
416,9029296.2,341943.4,926.5
417,9091819.1,341869.8,860.8
418,9156682.5,339123.6,882.1
419,9226286.0,343655.0,1360.8
420,9289383.0,348053.3,888.1
421,9355473.3,350818.1,843.5
422,9424084.1,353244.8,909.4
423,9489855.2,355851.6,915.0
424,9558397.0,356713.4,1182.9
425,9626298.6,359941.3,1000.2
426,9692875.0,361233.3,1798.6
427,9762644.4,362684.6,1008.6
428,9831399.3,364226.7,1100.0
429,9899302.4,366728.8,1372.9
430,9969816.7,369750.9,2292.4
431,10040813.3,372776.1,2575.6
432,10108327.3,373263.3,1147.9
433,10179167.2,376571.0,1627.1
434,10251735.8,377024.4,1112.0
435,10320733.2,381245.6,1290.1
436,10392342.4,380214.0,1390.5
437,10466687.2,383534.4,1425.3
438,10535939.7,386751.5,1609.0
439,10608369.9,390363.4,1906.1
440,10681588.9,390516.2,2330.7
441,10756047.4,394070.2,1785.4
442,10826476.9,394788.4,1541.3
443,10899942.7,399128.9,1223.8
444,10977336.2,390587.2,1132.3
445,11050261.1,402796.7,1848.8
446,11123524.2,404579.6,1479.4
447,11198244.2,408238.6,1299.5
448,11276617.1,410315.3,1788.3
449,11350375.0,411410.0,1441.1
450,11425103.5,414418.9,1541.9
451,11501446.1,417487.8,3143.2
452,11580951.5,416249.8,2773.5
453,11656688.1,420895.8,1841.9
454,11732519.0,425177.0,1425.3
455,11809850.3,425307.7,1519.0
456,11888962.7,428181.1,3773.5
457,11968861.5,429935.7,1703.9
458,12045579.3,432193.9,1506.2
459,12124165.8,436484.6,1485.0
460,12204219.6,436512.6,2159.2
461,12284494.2,439782.3,1849.2
462,12364997.1,439978.7,1747.0
463,12444774.7,444080.7,2703.9
464,12525846.5,448128.8,2202.0
465,12606076.8,450512.1,1653.0
466,12687560.6,451487.6,1429.4
467,12772590.6,453589.1,2340.0
468,12853014.4,455291.9,3598.0
469,12933677.9,457489.8,2147.6
470,13016713.5,456705.8,6262.9
